hanzi;pinyin;meaning;2
您;nín;you;2
它;tā;it;2
大家;dàjiā;everyone;2
每;měi;every, each;2
为什么;wèishénme;why;2
零;líng;zero;2
两;liǎng;two;2
百;bǎi;hundred;2
千;qiān;thousand;2
第—;dìyī;first;2
次;cì;times;2
件;jiàn;piece;2
别;bié;do not;2
"""p";fēicháng;very;2
也;yě;also;2
还;hái;still;2
最;zuì;the most;2
真;zhēn;really;2
正在;zhèngzài;be being;2
已经;yǐjīng;already;2
—起;yìqǐ;together;2
;;;2
再;zài;again;2
就;jiǜ;at once;2
因为……所以……;yīnwèi...suǒyǐ…;because…so…;2
虽然……但是……;suīrán…dànshì…;although… but…;2
从;cóng;from;2
比;bǐ;comparing to;2
往;wǎng;toward, to;2
离;lí;"indicate the distance
between two objects";2
得;de;suffix;2
着;zhe;Suffix;2
过;guò;By;2
吧;ba;Suffix;2
机场;jīchǎng;airport;2
教室;jiàoshì;classroom;2
房间;fángjiān;room;2
路;lù;road;2
左边;zuǒbiān;left;2
右边;yòubiān;right;2
外;wài;outside;2
旁边;pángbiān;side;2
—下;yīxià;in a short while;2
早上;zǎoshàng;morning;2
晚上;wǎnshàng;night;2
小时;xiǎoshí;hour;2
时间;shjjiān;time;2
去年;qùnián;last year;2
日;rì;date;2
生日;shēngrì;birthday;2
哥哥;gēge;older brother;2
姐姐;jiějie;older sister;2
弟弟;dìdi;younger brother;2
妹妹;mèimei;younger sister;2
丈夫;zhàngfu;husband;2
妻子;qīzi;wife;2
孩子;háizi;child;2
男人;nánrén;man;2
女人;nǚrén;woman;2
服务员;fúwùyuán;waiter;2
鱼;yú;fish;2
羊肉;yángròu;mutton;2
牛奶;niúnǎi;milk;2
鸡蛋;jīdàn;egg;2
西瓜;xīguā;watermelon;2
咖啡;kāfēi;coffee;2
雪;xu@;snow;2
药;yào;medicine;2
手机;shǒujī;cellphone;2
手表;shǒubiǎo;watch;2
眼睛;yǎnjīng;eye;2
身体;shēntǐ;body;2
公共汽车;gōnggòngqìchē;bus;2
报纸;bàozhǐ;newspaper;2
门;mén;door;2
题;tí;topic, item;2
课;kè;lesson;2
姓;xìng;surname;2
问题;wèntí;question;2
事情;shìqing;matter;2
考试;kǎoshì;exam;2
票;piào;ticket;2
意思;yìsi;meaning;2
颜色;yánsè;color;2
铅笔;qiánbǐ;pencil;2
面条;miàntiáo;noodle;2
火车站;huǒchēzhàn;train station;2
公司;gōngsī;company;2
宾馆;bīngguǎn;hotel;2
说话;shuōhuà;talk;2
卖;mài;sell;2
问;wèn;ask;2
走;zǒu;walk;2
进;jìn;enter;2
出;chū;come;2
跑步;pǎobù;run;2
到;dào;arrive;2
穿;chuān;wear;2
洗;xǐ;wash;2
给;gěi;give;2
找;zhǎo;find;2
懂;dǒng;understand;2
笑;xiào;smile;2
告诉;gàosù;tell;2
准备;zhǔnbèi;prepare;2
开始;kāishǐ;begin;2
介绍;jièshào;introduce;2
帮助;bāngzhù;help;2
玩;wán;play;2
送;sòng;present;2
等;děng;wait;2
让;ràng;let;2
起床;qǐchuáng;get up;2
唱歌;chànggē;sing;2
跳舞;tiàowǔ;dance;2
旅游;lǚyóu;travel;2
上班;shàngbān;be on duty;2
生病;shēngbìng;get ill, get sick;2
休息;xiūxi;rest;2
运动;yùndòng;exercise;2
游泳;yóuyǒng;swim;2
踢足球;tīzúqiú;play footbal;2
打篮球;dǎlánqiú;play basketball;2
完;wán;finish;2
觉得;juédé;think;2
知道;zhīdao;know;2
希望;xīwàng;hope;2
可以;kěyǐ;can;2
要;yào;want;2
可能;kěnéng;may;2
高;gāo;tall;2
红;hóng;red;2
白;bái;white;2
黑;hēi;black;2
忙;máng;busy;2
快;kuài;fast;2
慢;màn;slow;2
远;yuǎn;far;2
近;jìn;close;2
好吃;hǎochī;delicious;2
累;lèi;tired;2
长;cháng;long;2
新;xjn;new;2
贵;guj;expensive;2
便宜;piányi;cheap;2
晴;qjng;fine;2
阴;yjn;cloudy;2
错;cuò;wrong;2
快乐;kuàile;happy;2
对;duj;to;2
对;duj;right;2
